,y
187,8.059918490867465
188,7.005556678858882
189,5.493706466404082
190,3.0276603259079056
191,1.544931768106904
192,2.658758787945537
193,2.1735346659499135
194,4.286447769895347
195,4.495389761091512
196,4.196452466857938
197,4.132976209830616
198,5.4462372641611925
199,4.4359167887865345
200,3.0080139430066186
201,3.428651392185455
202,4.507389596449803
203,3.8588321066449445
204,3.937804868367599
205,2.219948291959768
206,4.94638819546138
207,5.778629198321156
208,3.5872797429100705
209,5.460445903484942
210,4.313034416595245
211,3.2208956026919298
212,3.470808526386036
213,4.213434348350665
214,3.7916224237572846
215,3.4644396703116946
216,1.7758421575746928
217,4.316921258231697
218,6.0508302101057785
219,3.7233365127672187
220,5.770661283054932
221,4.371088724697861
222,3.3150813975761775
223,3.426857006459966
224,3.742322687041889
225,3.587020383045698
226,2.821325308970487
227,1.8154999278506865
228,3.9821484444222386
229,6.285240115782174
230,3.8209024644608958
231,6.1006746162321015
232,4.4277150451969955
233,3.3502598319966044
234,3.4285793428178235
235,3.5056892611591204
236,3.404013870159989
237,2.3934177233185796
238,1.9982561112764436
239,4.328125930089083
240,6.345224922387654
241,3.989730274281022
242,6.243269870431101
243,4.456362801162227
244,3.543692166259791
245,3.363246647426935
246,3.5884250144463996
247,3.1723140277185826
248,2.099972013252468
249,1.9019884370217204
250,4.306353841415856
251,6.503976924613749
252,4.1448813556127675
253,6.5036267812977115
254,4.424514235770333
255,3.553026599834649
256,3.54558307504218
257,3.671863484967651
258,3.0807283547507174
259,2.148646603053209
260,1.561998546142449
261,4.637927288492368
262,6.697103004853879
263,4.311091834602155
264,5.50215645311674
265,2.4393471357273384
266,2.2872359566366427
267,2.797443675296069
268,3.9687050618087953
269,3.5482287008865585
270,4.988501562852928
271,6.961910199135376
272,6.322527184702024
273,5.734305337803095
274,3.5637672768631785
275,5.750843205193032
276,2.682080252758775
277,2.4775630647474403
278,2.7784569073485024
279,4.220145449261438
280,3.4179751666940676
281,4.920675364741538
282,7.076477981589932
283,6.119773493944564
284,5.5137833158095475
285,3.583934621882911
286,5.092190508432538
287,2.766062546505269
288,2.1139468193012245
